date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:59	1159/1159	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:%22999-62e0e3e3-d279262f562faa99;gz%22	https://themepixels.me/robots.txt		(from )
15:45:00	64711/64711	---M-Z	200	added ('OK')	text/html	etag:%22fcc7-65e9c33a-554a06f3cd0dd435;gz%22	https://themepixels.me/demo/bracket/app/?storefront=envato-elements	themepixels.me/demo/bracket/app/index04b9.html	(from )
15:45:00	64711/64711	---M-Z	200	added ('OK')	text/html	etag:%22fcc7-65e9c33a-554a06f3cd0dd435;gz%22	https://themepixels.me/demo/bracket/app/index.html	themepixels.me/demo/bracket/app/index.html	(from https://themepixels.me/demo/bracket/app/?storefront=envato-elements)
15:45:01	56049/56049	---M-Z	200	added ('OK')	text/html	etag:%22daf1-65e9c355-b3b8a5080c176d8c;gz%22	https://themepixels.me/demo/bracket/app/mailbox.html	themepixels.me/demo/bracket/app/mailbox.html	(from https://themepixels.me/demo/bracket/app/?storefront=envato-elements)
15:45:02	95421/95421	---M-Z	200	added ('OK')	text/html	etag:%22174bd-65e9c34c-af219b92ce3a2288;gz%22	https://themepixels.me/demo/bracket/app/card-dashboard.html	themepixels.me/demo/bracket/app/card-dashboard.html	(from https://themepixels.me/demo/bracket/app/?storefront=envato-elements)
15:45:03	51840/51840	---M-Z	200	added ('OK')	text/html	etag:%22ca80-65e9c341-4273c2140960c33f;gz%22	https://themepixels.me/demo/bracket/app/accordion.html	themepixels.me/demo/bracket/app/accordion.html	(from https://themepixels.me/demo/bracket/app/?storefront=envato-elements)
15:45:04	58681/58681	---M-Z	200	added ('OK')	text/html	etag:%22e539-65e9c355-5f85a1674f63d34b;gz%22	https://themepixels.me/demo/bracket/app/alerts.html	themepixels.me/demo/bracket/app/alerts.html	(from https://themepixels.me/demo/bracket/app/?storefront=envato-elements)
15:45:05	77383/77383	---M-Z	200	added ('OK')	text/html	etag:%2212e47-65e9c337-f340d3504c615ffb;gz%22	https://themepixels.me/demo/bracket/app/buttons.html	themepixels.me/demo/bracket/app/buttons.html	(from https://themepixels.me/demo/bracket/app/?storefront=envato-elements)
15:45:06	82084/82084	---M-Z	200	added ('OK')	text/html	etag:%22140a4-65e9c34a-48658899ea6999ab;gz%22	https://themepixels.me/demo/bracket/app/cards.html	themepixels.me/demo/bracket/app/cards.html	(from https://themepixels.me/demo/bracket/app/?storefront=envato-elements)
15:45:07	77753/77753	---M-Z	200	added ('OK')	text/html	etag:%2212fb9-65e9c352-349d7372949e0c20;gz%22	https://themepixels.me/demo/bracket/app/icons.html	themepixels.me/demo/bracket/app/icons.html	(from https://themepixels.me/demo/bracket/app/?storefront=envato-elements)
